Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2022-06-30,6649.1640625,6786.732974137931,6649.1640625,6695.02036637931,101343900
2022-07-01,6649.1640625,6717.948518318965,6649.1640625,6695.02036637931,68738800
2022-07-04,6465.73876953125,6672.09213451629,6419.882466201241,6649.163982851285,102238600
2022-07-05,6649.1640625,6717.948518318965,6511.595150862069,6511.595150862069,69172900
2022-07-06,6695.02099609375,6717.949150189961,6580.380225612693,6695.02099609375,66801100
2022-07-07,6511.595703125,6649.164626430458,6511.595703125,6626.236472546215,86126800
2022-07-08,6557.4521484375,6580.380302802666,6488.667685342002,6534.523994072334,64312400
2022-07-11,6534.5234375,6603.307894736842,6534.5234375,6603.307894736842,36830800
2022-07-12,6580.3798828125,6649.164341517857,6557.451729910715,6580.3798828125,34269000
2022-07-13,6419.88330078125,6534.524074009487,6419.88330078125,6511.595919363839,71988200
2022-07-14,6442.81103515625,6511.595494606317,6419.882882006228,6442.81103515625,83316300
2022-07-15,6419.88330078125,6511.595919363839,6419.88330078125,6511.595919363839,57419900
2022-07-18,6557.4521484375,6557.4521484375,6442.811376611669,6442.811376611669,60077700
2022-07-19,6580.3798828125,6580.3798828125,6511.595424107143,6511.595424107143,59641000
2022-07-20,6786.73291015625,6786.73291015625,6580.379544644742,6603.307696368243,105792900
2022-07-21,6786.73291015625,6786.73291015625,6649.163999815245,6786.73291015625,64337100
2022-07-22,6717.94873046875,6786.733188459898,6695.020577805034,6786.733188459898,38956500
2022-07-25,6695.02099609375,6763.805458382384,6695.02099609375,6740.877304286173,31247600
2022-07-26,6695.02099609375,6763.805458382384,6649.164687901327,6649.164687901327,44379900
2022-07-27,6717.94873046875,6740.876883132466,6672.092425141318,6717.94873046875,58465500
2022-07-28,6740.876953125,6832.589564732143,6717.948800223215,6763.805106026785,86909700
2022-07-29,6740.876953125,6855.517717633928,6740.876953125,6786.733258928572,131553000
2022-08-01,6878.4462890625,6878.4462890625,6740.87736328125,6740.87736328125,104841600
2022-08-02,6970.15869140625,6993.086844996403,6878.446077045642,6970.15869140625,106466900
2022-08-03,6993.08642578125,6993.08642578125,6947.230121349898,6993.08642578125,60170600
2022-08-04,7153.583984375,7153.583984375,7016.015061598558,7038.943215394632,164221000
2022-08-05,7222.36767578125,7222.36767578125,7084.798767671131,7176.511373077877,118734200
2022-08-08,7222.36767578125,7268.223978484622,7107.726919022817,7222.36767578125,84328900
2022-08-09,7245.29638671875,7314.080846086333,7222.368233596222,7222.368233596222,92875800
